time,pop_capacity,pop_count,pop_updated,upw_capacity,upw_count,upw_updated,fre_capacity,fre_count,fre_updated
2021-04-05 13:30:01.910198,280,61,1:29 PM,64,4,1:28 PM,165,41,1:29 PM
2021-04-05 13:45:01.477588,280,58,1:44 PM,64,3,1:44 PM,165,47,1:44 PM
2021-04-05 14:00:02.088240,280,57,1:59 PM,64,3,1:55 PM,165,44,1:59 PM
2021-04-05 14:15:02.034403,280,55,2:14 PM,64,3,2:10 PM,165,38,2:14 PM
2021-04-05 14:30:05.434072,280,54,2:30 PM,64,5,2:28 PM,165,37,2:30 PM
2021-04-05 14:45:01.873570,280,56,2:44 PM,64,6,2:44 PM,165,42,2:44 PM
2021-04-05 15:00:02.067579,280,60,2:59 PM,64,7,2:55 PM,165,45,2:59 PM
2021-04-05 15:15:02.266927,280,56,3:14 PM,64,6,3:13 PM,165,40,3:14 PM
2021-04-05 15:30:01.794427,280,60,3:29 PM,64,5,3:24 PM,165,36,3:29 PM
2021-04-05 15:45:01.551245,280,61,3:44 PM,64,2,3:44 PM,165,39,3:45 PM
2021-04-05 16:00:02.632965,280,68,3:59 PM,64,2,4:00 PM,165,43,3:59 PM
2021-04-05 16:15:02.062591,280,81,4:14 PM,64,1,4:10 PM,165,53,4:14 PM
2021-04-05 16:30:02.992454,280,95,4:29 PM,64,0,4:29 PM,165,64,4:29 PM
2021-04-05 16:45:02.357268,280,107,4:44 PM,64,2,4:43 PM,165,80,4:45 PM
2021-04-05 17:00:01.485144,280,103,4:59 PM,64,5,4:58 PM,165,88,4:59 PM
2021-04-05 17:15:00.925477,280,112,5:14 PM,64,10,5:14 PM,165,91,5:13 PM
2021-04-05 17:30:03.378883,280,119,5:29 PM,64,12,5:29 PM,165,98,5:29 PM
2021-04-05 17:45:02.408693,280,128,5:44 PM,64,20,5:44 PM,165,112,5:45 PM
2021-04-05 18:00:01.613828,280,123,5:59 PM,64,27,5:55 PM,165,125,5:59 PM
2021-04-05 18:15:01.549084,280,140,6:14 PM,64,27,6:14 PM,165,139,6:14 PM
2021-04-05 18:30:02.099886,280,140,6:29 PM,64,31,6:29 PM,165,140,6:29 PM
2021-04-05 18:45:02.316217,280,139,6:44 PM,64,27,6:44 PM,165,139,6:44 PM
2021-04-05 19:00:01.896678,280,138,6:59 PM,64,24,6:59 PM,165,132,6:59 PM
2021-04-05 19:15:01.881084,280,146,7:14 PM,64,28,7:15 PM,165,131,7:14 PM
2021-04-05 19:30:02.138538,280,154,7:29 PM,64,27,7:27 PM,165,131,7:29 PM
2021-04-05 19:45:02.019641,280,149,7:44 PM,64,24,7:41 PM,165,132,7:44 PM
2021-04-05 20:00:01.995683,280,144,7:59 PM,64,23,7:59 PM,165,121,7:59 PM
2021-04-05 20:15:02.424943,280,142,8:14 PM,64,20,8:13 PM,165,113,8:14 PM
2021-04-05 20:30:02.672321,280,137,8:29 PM,64,18,8:29 PM,165,109,8:29 PM
2021-04-05 20:45:03.032148,280,132,8:44 PM,64,13,8:43 PM,165,115,8:44 PM
2021-04-05 21:00:02.438588,280,132,8:59 PM,64,8,8:59 PM,165,114,8:59 PM
2021-04-05 21:15:02.398318,280,108,9:14 PM,64,4,9:10 PM,165,111,9:12 PM
2021-04-05 21:30:02.330279,280,96,9:28 PM,64,2,9:22 PM,165,105,9:29 PM
2021-04-05 21:45:02.139671,280,76,9:44 PM,64,0,9:41 PM,165,88,9:42 PM
